web-scraper-order,web-scraper-start-url,station-name-link,station-name-link-href,coordinates
1625310993-415,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Batman,https://en.wikipedia.org/wiki/Batman_railway_station,37°44′01″S
1625310954-387,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Broadmeadows,"https://en.wikipedia.org/wiki/Broadmeadows_railway_station,_Melbourne",37°40′58″S
1625310832-293,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Gardenvale,https://en.wikipedia.org/wiki/Gardenvale_railway_station,37°53′48″S
1625310855-311,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Fairfield,"https://en.wikipedia.org/wiki/Fairfield_railway_station,_Melbourne",37°46′45″S
1625310698-191,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Merlynston,https://en.wikipedia.org/wiki/Merlynston_railway_station,37°43′15″S
1625310584-107,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Riversdale,https://en.wikipedia.org/wiki/Riversdale_railway_station,37°49′53″S
1625310501-44,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Tottenham,https://en.wikipedia.org/wiki/Tottenham_railway_station,144°51′48″E
1625310822-286,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Glen Waverley,https://en.wikipedia.org/wiki/Glen_Waverley_railway_station,145°09′45″E
1625310700-194,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Merinda Park,https://en.wikipedia.org/wiki/Merinda_Park_railway_station,145°15′51″E
1625310671-172,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Moorabbin,https://en.wikipedia.org/wiki/Moorabbin_railway_station,145°02′12″E
1625310761-239,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Hurstbridge,https://en.wikipedia.org/wiki/Hurstbridge_railway_station,37°38′21″S
1625310522-60,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Sunshine,"https://en.wikipedia.org/wiki/Sunshine_railway_station,_Melbourne",144°49′57″E
1625310559-87,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Seddon,https://en.wikipedia.org/wiki/Seddon_railway_station,37°48′32″S
1625310814-280,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Glenhuntly,https://en.wikipedia.org/wiki/Glenhuntly_railway_station,145°02′32″E
1625310710-201,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Malvern,"https://en.wikipedia.org/wiki/Malvern_railway_station,_Melbourne",37°51′59″S
1625310710-202,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Malvern,"https://en.wikipedia.org/wiki/Malvern_railway_station,_Melbourne",145°01′44″E
1625310937-373,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Carnegie,https://en.wikipedia.org/wiki/Carnegie_railway_station,37°53′11″S
1625310729-216,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Lalor,https://en.wikipedia.org/wiki/Lalor_railway_station,145°01′02″E
