web-scraper-order,web-scraper-start-url,station-name-link,station-name-link-href,coordinates-link,coordinates-link-href,coordinates
"1625382433-124","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Prahran","https://en.wikipedia.org/wiki/Prahran_railway_station","37°50′58″S 144°59′24″E﻿ / ﻿37.8495°S 144.9899°E﻿ / -37.8495; 144.9899","https://geohack.toolforge.org/geohack.php?pagename=Prahran_railway_station&params=37.8495_S_144.9899_E_type:railwaystation_region:AU-VIC","144.9899"
"1625383032-349","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Croxton","https://en.wikipedia.org/wiki/Croxton_railway_station","37°45′51″S 144°59′48″E﻿ / ﻿37.7642°S 144.9968°E﻿ / -37.7642; 144.9968","https://geohack.toolforge.org/geohack.php?pagename=Croxton_railway_station&params=37.7642_S_144.9968_E_type:railwaystation_region:AU-VIC","-37.7642"
"1625382712-229","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Keilor Plains","https://en.wikipedia.org/wiki/Keilor_Plains_railway_station","37°43′46″S 144°47′38″E﻿ / ﻿37.7294°S 144.7938°E﻿ / -37.7294; 144.7938","https://geohack.toolforge.org/geohack.php?pagename=Keilor_Plains_railway_station&params=37.7294_S_144.7938_E_type:railwaystation_region:AU-VIC","-37.7294"
"1625383277-442","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Alamein","https://en.wikipedia.org/wiki/Alamein_railway_station","37°52′06″S 145°04′47″E﻿ / ﻿37.8683°S 145.0797°E﻿ / -37.8683; 145.0797","https://geohack.toolforge.org/geohack.php?pagename=Alamein_railway_station&params=37.8683_S_145.0797_E_region:AU-VIC_type:railwaystation","145.0797"
"1625382464-135","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Ormond","https://en.wikipedia.org/wiki/Ormond_railway_station","37°54′12″S 145°02′22″E﻿ / ﻿37.9032°S 145.0395°E﻿ / -37.9032; 145.0395","https://geohack.toolforge.org/geohack.php?pagename=Ormond_railway_station&params=37.9032_S_145.0395_E_type:railwaystation_region:AU-VIC","-37.9032"
"1625382978-330","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","East Malvern","https://en.wikipedia.org/wiki/East_Malvern_railway_station","37°52′37″S 145°04′10″E﻿ / ﻿37.87694°S 145.06933°E﻿ / -37.87694; 145.06933","https://geohack.toolforge.org/geohack.php?pagename=East_Malvern_railway_station&params=37.87694_S_145.06933_E_type:railwaystation_region:AU-VIC","145.06933"
"1625383004-340","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Dennis","https://en.wikipedia.org/wiki/Dennis_railway_station","37°46′45″S 145°00′30″E﻿ / ﻿37.7793°S 145.0083°E﻿ / -37.7793; 145.0083","https://geohack.toolforge.org/geohack.php?pagename=Dennis_railway_station&params=37.7793_S_145.0083_E_type:railwaystation_region:AU-VIC","145.0083"
"1625383167-400","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Bonbeach","https://en.wikipedia.org/wiki/Bonbeach_railway_station","38°03′46″S 145°07′11″E﻿ / ﻿38.0627°S 145.1197°E﻿ / -38.0627; 145.1197","https://geohack.toolforge.org/geohack.php?pagename=Bonbeach_railway_station&params=38.0627_S_145.1197_E_type:railwaystation_region:AU-VIC","145.1197"
"1625382178-27","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Wattle Glen","https://en.wikipedia.org/wiki/Wattle_Glen_railway_station","37°39′50″S 145°10′54″E﻿ / ﻿37.6640°S 145.1816°E﻿ / -37.6640; 145.1816","https://geohack.toolforge.org/geohack.php?pagename=Wattle_Glen_railway_station&params=37.664_S_145.1816_E_type:railwaystation_region:AU-VIC","-37.664"
"1625383112-380","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Cardinia Road","https://en.wikipedia.org/wiki/Cardinia_Road_railway_station","38°4′16″S 145°26′15″E﻿ / ﻿38.07111°S 145.43750°E﻿ / -38.07111; 145.43750","https://geohack.toolforge.org/geohack.php?pagename=Cardinia_Road_railway_station&params=38_4_16_S_145_26_15_E_region:AU-VIC_type:railwaystation","145.4375"
"1625382364-97","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Ruthven","https://en.wikipedia.org/wiki/Ruthven_railway_station","37°42′28″S 145°00′34″E﻿ / ﻿37.7079°S 145.0094°E﻿ / -37.7079; 145.0094","https://geohack.toolforge.org/geohack.php?pagename=Ruthven_railway_station&params=37.7079_S_145.0094_E_type:railwaystation_region:AU-VIC","-37.7079"
"1625383141-390","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Brunswick","https://en.wikipedia.org/wiki/Brunswick_railway_station,_Melbourne","37°46′04″S 144°57′35″E﻿ / ﻿37.7677°S 144.9597°E﻿ / -37.7677; 144.9597","https://geohack.toolforge.org/geohack.php?pagename=Brunswick_railway_station,_Melbourne&params=37.7677_S_144.9597_E_type:railwaystation_region:AU-VIC","144.9597"
"1625382962-323","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Elsternwick","https://en.wikipedia.org/wiki/Elsternwick_railway_station","37°53′05″S 145°00′03″E﻿ / ﻿37.8848°S 145.0009°E﻿ / -37.8848; 145.0009","https://geohack.toolforge.org/geohack.php?pagename=Elsternwick_railway_station&params=37.8848_S_145.0009_E_type:railwaystation_region:AU-VIC","-37.8848"
